GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
auth-service,com.gmp.auth.init,UserInitializer,793,0,26,0,81,0,25,0,12,0
auth-service,com.gmp.auth.init,RolePermissionInitializer.PermissionData,21,0,0,0,8,0,1,0,1,0
auth-service,com.gmp.auth.init,SubsystemPermissionInitializer,20,0,0,0,8,0,3,0,3,0
auth-service,com.gmp.auth.init,AuthSystemApplicationInitializer,33,0,0,0,12,0,3,0,3,0
auth-service,com.gmp.auth.init,UserInitializer.UserData,24,0,0,0,9,0,1,0,1,0
auth-service,com.gmp.auth.init,RolePermissionInitializer,1876,0,20,0,217,0,32,0,22,0
auth-service,com.gmp.auth.init,RolePermissionInitializer.RoleData,18,0,0,0,7,0,1,0,1,0
auth-service,com.gmp.auth.init,OrganizationStructureInitializer,35,0,0,0,12,0,2,0,2,0
auth-service,com.gmp.auth.init,UserInitializer.UserOrgRoleData,12,0,0,0,5,0,1,0,1,0
auth-service,com.gmp.auth.entity,OperationLog.Builder,111,0,0,0,32,0,16,0,16,0
auth-service,com.gmp.auth.entity,UserRole.UserRoleBuilder,26,68,0,2,0,1,2,10,2,9
auth-service,com.gmp.auth.entity,User.UserStatus,0,42,0,0,0,9,0,3,0,3
auth-service,com.gmp.auth.entity,Organization,733,176,151,17,6,24,103,33,27,25
auth-service,com.gmp.auth.entity,Role.RoleBuilder,43,96,0,4,0,1,4,13,4,11
auth-service,com.gmp.auth.entity,RolePermission.RolePermissionBuilder,102,0,2,0,1,0,13,0,12,0
auth-service,com.gmp.auth.entity,Role,487,117,103,5,4,15,71,17,19,15
auth-service,com.gmp.auth.entity,Organization.OrganizationBuilder,53,173,0,10,0,1,3,23,3,18
auth-service,com.gmp.auth.entity,OperationLog.Result,28,0,0,0,7,0,3,0,3,0
auth-service,com.gmp.auth.entity,Organization.OrganizationType,0,84,0,0,0,15,0,3,0,3
