GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GMP QMS Service,com.gmp.qms,QmsApplication,8,0,0,0,3,0,2,0,2,0
GMP QMS Service,com.gmp.qms.entity,Deviation.DeviationStatus,0,74,0,0,0,8,0,1,0,1
GMP QMS Service,com.gmp.qms.entity,Capa.CapaStatus,0,84,0,0,0,9,0,1,0,1
GMP QMS Service,com.gmp.qms.entity,Capa.PriorityLevel,0,44,0,0,0,5,0,1,0,1
GMP QMS Service,com.gmp.qms.entity,ChangeControlAction.ActionStatus,44,0,0,0,5,0,1,0,1,0
GMP QMS Service,com.gmp.qms.entity,DeviationAction.ActionStatus,44,0,0,0,5,0,1,0,1,0
GMP QMS Service,com.gmp.qms.entity,Deviation.SeverityLevel,0,44,0,0,0,5,0,1,0,1
GMP QMS Service,com.gmp.qms.entity,ChangeControl.RiskLevel,0,44,0,0,0,5,0,1,0,1
GMP QMS Service,com.gmp.qms.entity,ChangeControl.ChangeStatus,0,94,0,0,0,10,0,1,0,1
GMP QMS Service,com.gmp.qms.entity,CapaAction.ActionStatus,44,0,0,0,5,0,1,0,1,0
GMP QMS Service,com.gmp.qms.controller,ChangeControlController,94,0,0,0,22,0,10,0,10,0
GMP QMS Service,com.gmp.qms.controller,DeviationController,94,0,0,0,22,0,10,0,10,0
GMP QMS Service,com.gmp.qms.controller,CapaController,94,0,0,0,22,0,10,0,10,0
GMP QMS Service,com.gmp.qms.exception,ResourceNotFoundException,5,4,0,0,2,2,1,1,1,1
GMP QMS Service,com.gmp.qms.model,ApiResponse,36,0,0,0,12,0,4,0,4,0
GMP QMS Service,com.gmp.qms.service.impl,DeviationServiceImpl,84,224,2,0,19,33,2,14,1,14
GMP QMS Service,com.gmp.qms.service.impl,CapaServiceImpl,84,214,2,2,17,35,2,15,1,14
GMP QMS Service,com.gmp.qms.service.impl,ChangeControlServiceImpl,161,137,4,0,32,20,7,10,5,10
