GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
crm-sales,com.gmp.crm.entity,OrderItem,358,0,70,0,9,0,56,0,21,0
crm-sales,com.gmp.crm.entity,Customer,453,0,86,0,15,0,70,0,27,0
crm-sales,com.gmp.crm.entity,SalesOrder,478,0,86,0,23,0,71,0,28,0
crm-sales,com.gmp.crm.controller,SalesOrderController,3,182,1,1,0,41,1,11,0,11
crm-sales,com.gmp.crm.controller,CustomerController,0,109,0,0,0,24,0,9,0,9
crm-sales,com.gmp.crm.service.impl,SalesOrderServiceImpl,421,0,20,0,69,0,29,0,19,0
crm-sales,com.gmp.crm.service.impl,CustomerServiceImpl,234,0,14,0,37,0,21,0,14,0
crm-sales,com.gmp.crm,CrmSalesApplication,5,3,0,0,2,1,1,1,1,1
crm-sales,com.gmp.crm.dto,SalesOrderRequestDTO,132,24,30,0,0,4,19,7,4,7
crm-sales,com.gmp.crm.dto,ApiResponse,156,57,32,0,1,17,22,10,6,10
crm-sales,com.gmp.crm.dto,SalesOrderDTO,375,65,86,0,0,11,49,19,6,19
crm-sales,com.gmp.crm.dto,OrderItemDTO,317,0,62,0,8,0,50,0,19,0
crm-sales,com.gmp.crm.dto,SalesOrderRequestDTO.OrderItemRequestDTO,197,38,46,0,0,6,27,11,4,11
crm-sales,com.gmp.crm.dto,CustomerRequestDTO,230,45,54,0,0,7,31,13,4,13
crm-sales,com.gmp.crm.dto,PageRequestDTO,152,26,26,0,2,4,22,5,9,5
crm-sales,com.gmp.crm.dto,CustomerDTO,364,73,86,0,0,11,47,21,4,21
crm-sales,com.gmp.crm.dto,ApiResponse.PageResponse,138,38,22,0,0,6,15,11,4,11
